#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
gga-let-7j-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dps-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dre-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
fru-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
tni-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
xtr-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
bmo-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
bta-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mdo-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mdo-let-7a-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
ame-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mml-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mml-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
cfa-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ptr-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
tca-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dan-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
der-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dgr-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dmo-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dpe-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dse-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dsi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dvi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dwi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
dya-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
bfl-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
cte-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
lgi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
sko-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
crm-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ppc-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
isc-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
eca-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ssc-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
bma-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
tgu-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
nvi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ppy-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ngi-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
pma-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
asu-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
aca-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
aca-let-7c-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
ola-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ola-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
sha-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
cgr-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ggo-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
mse-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ccr-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ipu-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
cbn-let-7	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
oar-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
prd-let-7-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
bbe-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ssa-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
ssa-let-7a-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
chi-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
oha-let-7a	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
oha-let-7a-5p	192.00	bta-let-7a-2	192.00	35.00	93.00	64.00	348.66	781.61	743.43
oha-let-7c-1-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
cel-let-7-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
hsa-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
hsa-let-7a-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
dme-let-7-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
cbr-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
mmu-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
mmu-let-7a-1-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
mmu-let-7c-2-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
rno-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
rno-let-7a-1-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
rno-let-7c-2-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
gga-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
gga-let-7a-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
gga-let-7j-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
gga-let-7k-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
dps-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dre-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
fru-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
tni-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
xtr-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
bmo-let-7-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
bta-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
mdo-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
bta-let-7a-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
ame-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
oan-let-7e-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
mml-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
mml-let-7a-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
cfa-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
ptr-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
tca-let-7-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dan-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
der-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dgr-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dmo-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dpe-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dse-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dsi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dvi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dwi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
dya-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
bfl-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
cte-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
lgi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
sko-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
crm-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
ppc-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
isc-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
eca-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
ssc-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
bma-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
tgu-let-7e-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
tgu-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
tgu-let-7a-1-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
nvi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
ppy-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
ngi-let-7	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
pma-let-7a	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
asu-let-7-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
aca-let-7a-5p	191.00	bta-let-7a-3	191.00	35.00	92.00	64.00	348.66	773.21	743.43
aca-let-7e-3p	5.00	bta-let-7a-3	5.00	3.00	1.00	1.00	29.89	8.40	11.62
