#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-chr23_3016_mt	1.00	bta-chr23_3016	1.00	1.00	0	0	5.03	0	0
bta-chr23_3016_st	0.00	bta-chr23_3016	0.00	0	0	0	0	0	0
bta-chr25_3286_mt	3.00	bta-chr25_3286	3.00	1.00	2.00	0	5.03	8.54	0
bta-chr25_3286_st	0.00	bta-chr25_3286	0.00	0	0	0	0	0	0
bta-chr26_3391_mt	1.00	bta-chr26_3391	1.00	0	0	1.00	0	0	5.83
bta-chr26_3391_st	0.00	bta-chr26_3391	0.00	0	0	0	0	0	0
bta-chr28_3492_mt	2.00	bta-chr28_3492	2.00	1.00	1.00	0	5.03	4.27	0
bta-chr28_3492_st	1.00	bta-chr28_3492	1.00	0	1.00	0	0	4.27	0
bta-chr28_3569_mt	145.00	bta-chr28_3569	145.00	54.00	49.00	42.00	271.65	209.22	244.93
bta-chr28_3569_st	0.00	bta-chr28_3569	0.00	0	0	0	0	0	0
bta-chr2_2311_mt	1.00	bta-chr2_2311	1.00	0	1.00	0	0	4.27	0
bta-chr2_2311_st	0.00	bta-chr2_2311	0.00	0	0	0	0	0	0
bta-chr5_4049_mt	8.00	bta-chr5_4049	8.00	4.00	3.00	1.00	20.12	12.81	5.83
bta-chr5_4050_mt	8.00	bta-chr5_4049	8.00	4.00	3.00	1.00	20.12	12.81	5.83
bta-chr5_4049_st	0.00	bta-chr5_4049	0.00	0	0	0	0	0	0
bta-chr5_4049_mt	11.00	bta-chr5_4050	11.00	6.00	3.00	2.00	30.18	12.81	11.66
bta-chr5_4050_mt	11.00	bta-chr5_4050	11.00	6.00	3.00	2.00	30.18	12.81	11.66
bta-chr5_4050_st	1.00	bta-chr5_4050	1.00	0	0	1.00	0	0	5.83
bta-chr9_4993_mt	2.00	bta-chr9_4993	2.00	0	1.00	1.00	0	4.27	5.83
bta-chr9_4993_st	0.00	bta-chr9_4993	0.00	0	0	0	0	0	0
bta-chrX_5169_mt	1.00	bta-chrX_5169	1.00	1.00	0	0	5.03	0	0
bta-chrX_5169_st	0.00	bta-chrX_5169	0.00	0	0	0	0	0	0
bta-chrX_5199_mt	4.00	bta-chrX_5195	4.00	0	3.00	1.00	0	12.81	5.83
bta-chrX_5195_mt	4.00	bta-chrX_5195	4.00	0	3.00	1.00	0	12.81	5.83
bta-chrX_5199_st	0.00	bta-chrX_5195	0.00	0	0	0	0	0	0
bta-chrX_5195_st	0.00	bta-chrX_5195	0.00	0	0	0	0	0	0
bta-chrX_5199_mt	4.00	bta-chrX_5199	4.00	0	3.00	1.00	0	12.81	5.83
bta-chrX_5195_mt	4.00	bta-chrX_5199	4.00	0	3.00	1.00	0	12.81	5.83
bta-chrX_5199_st	0.00	bta-chrX_5199	0.00	0	0	0	0	0	0
bta-chrX_5195_st	0.00	bta-chrX_5199	0.00	0	0	0	0	0	0
bta-chrX_5274_mt	7.00	bta-chrX_5274	7.00	2.00	5.00	0	10.06	21.35	0
bta-chrX_5274_st	0.00	bta-chrX_5274	0.00	0	0	0	0	0	0
cel-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
hsa-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
hsa-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
dme-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cbr-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mmu-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mmu-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
mmu-let-7c-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
rno-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
rno-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
rno-let-7c-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
gga-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
gga-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
gga-let-7j-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
gga-let-7k-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
dps-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dre-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
fru-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
tni-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
xtr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bmo-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bta-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mdo-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bta-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ame-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oan-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
mml-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mml-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cfa-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ptr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
tca-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dan-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
der-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dgr-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dmo-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dpe-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dse-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dsi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dvi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dwi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dya-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bfl-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cte-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
lgi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
sko-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
crm-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ppc-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
isc-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
eca-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ssc-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bma-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
tgu-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
tgu-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
tgu-let-7a-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
nvi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ppy-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ngi-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pma-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
asu-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
aca-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
aca-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
aca-let-7f-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ola-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ola-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
sha-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cgr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ggo-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mse-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ccr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ipu-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cbn-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oar-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
prd-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
bbe-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ssa-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ssa-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
aca-let-7a-3-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cpi-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cpi-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cpi-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ami-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ami-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ami-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cli-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cli-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cli-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
pbv-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pbv-let-7a-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
pbv-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
pbv-let-7f-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
chi-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
chi-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
tch-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
oha-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oha-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oha-let-7a-2-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
oha-let-7f-1-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
oha-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cja-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pal-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pal-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
hpo-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cgr-let-7c-2	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
abu-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mze-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
nbr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oni-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pny-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
gmo-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
gmo-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
bdo-let-7	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dqu-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pte-let-7-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
xla-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
xla-let-7e-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
cpo-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cpo-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
dno-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dno-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ocu-let-7a-5p	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
ocu-let-7a-3p	5.00	bta-let-7a-1	5.00	3.00	1.00	1.00	15.09	4.27	5.83
ppa-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
mmr-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
dma-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
nle-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
sbo-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
pha-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
oga-let-7a	239.00	bta-let-7a-1	239.00	47.00	116.00	76.00	236.44	495.31	443.21
cel-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
hsa-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
hsa-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
dme-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
cbr-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mmu-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mmu-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
rno-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
rno-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
gga-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
gga-let-7j-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dps-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dre-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
fru-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
tni-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
xtr-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
bmo-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
bta-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mdo-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mdo-let-7a-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
ame-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mml-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mml-let-7a-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
cfa-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ptr-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
tca-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dan-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
der-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dgr-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dmo-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dpe-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dse-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dsi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dvi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dwi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
dya-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
bfl-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
cte-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
lgi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
sko-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
crm-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ppc-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
isc-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
eca-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ssc-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
bma-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
tgu-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
nvi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ppy-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ngi-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
pma-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
asu-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
aca-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
aca-let-7c-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
ola-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ola-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
sha-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
cgr-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ggo-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
mse-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ccr-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ipu-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
cbn-let-7	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
oar-let-7a	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
prd-let-7-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
bbe-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ssa-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ssa-let-7a-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
cpi-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
cpi-let-7c-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
ami-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
ami-let-7c-2-3p	0.00	bta-let-7a-2	0.00	0	0	0	0	0	0
cli-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
pbv-let-7a-5p	238.00	bta-let-7a-2	238.00	47.00	116.00	75.00	236.44	495.31	437.38
