#miRNA	read_count	precursor
bta-chr9_6235_st	0	bta-chr9_6235
bta-chrX_6439_mt	1	bta-chrX_6439
bta-chrX_6439_st	0	bta-chrX_6439
bta-chrX_6479_mt	4	bta-chrX_6475
bta-chrX_6475_mt	4	bta-chrX_6475
bta-chrX_6475_st	0	bta-chrX_6475
bta-chrX_6479_mt	4	bta-chrX_6479
bta-chrX_6475_mt	4	bta-chrX_6479
bta-chrX_6479_st	0	bta-chrX_6479
bta-chrX_6561_mt	1	bta-chrX_6561
bta-chrX_6561_st	0	bta-chrX_6561
bta-chrX_6576_mt	6	bta-chrX_6576
bta-chrX_6576_st	0	bta-chrX_6576
cel-let-7-5p	193	bta-let-7a-1
hsa-let-7a-5p	193	bta-let-7a-1
hsa-let-7a-3p	5	bta-let-7a-1
dme-let-7-5p	193	bta-let-7a-1
cbr-let-7	193	bta-let-7a-1
mmu-let-7a-5p	193	bta-let-7a-1
mmu-let-7a-1-3p	5	bta-let-7a-1
mmu-let-7c-2-3p	5	bta-let-7a-1
rno-let-7a-5p	193	bta-let-7a-1
rno-let-7a-1-3p	5	bta-let-7a-1
rno-let-7c-2-3p	5	bta-let-7a-1
gga-let-7a-5p	193	bta-let-7a-1
gga-let-7a-3p	5	bta-let-7a-1
gga-let-7j-5p	193	bta-let-7a-1
gga-let-7k-3p	5	bta-let-7a-1
dps-let-7	193	bta-let-7a-1
dre-let-7a	193	bta-let-7a-1
fru-let-7a	193	bta-let-7a-1
tni-let-7a	193	bta-let-7a-1
xtr-let-7a	193	bta-let-7a-1
bmo-let-7-5p	193	bta-let-7a-1
bta-let-7a-5p	193	bta-let-7a-1
mdo-let-7a-5p	193	bta-let-7a-1
bta-let-7a-3p	5	bta-let-7a-1
ame-let-7	193	bta-let-7a-1
oan-let-7e-3p	5	bta-let-7a-1
mml-let-7a-5p	193	bta-let-7a-1
mml-let-7a-3p	5	bta-let-7a-1
cfa-let-7a	193	bta-let-7a-1
ptr-let-7a	193	bta-let-7a-1
tca-let-7-5p	193	bta-let-7a-1
dan-let-7	193	bta-let-7a-1
der-let-7	193	bta-let-7a-1
dgr-let-7	193	bta-let-7a-1
dmo-let-7	193	bta-let-7a-1
dpe-let-7	193	bta-let-7a-1
dse-let-7	193	bta-let-7a-1
dsi-let-7	193	bta-let-7a-1
dvi-let-7	193	bta-let-7a-1
dwi-let-7	193	bta-let-7a-1
dya-let-7	193	bta-let-7a-1
bfl-let-7a-5p	193	bta-let-7a-1
cte-let-7	193	bta-let-7a-1
lgi-let-7	193	bta-let-7a-1
sko-let-7	193	bta-let-7a-1
crm-let-7	193	bta-let-7a-1
ppc-let-7	193	bta-let-7a-1
isc-let-7	193	bta-let-7a-1
eca-let-7a	193	bta-let-7a-1
ssc-let-7a	193	bta-let-7a-1
bma-let-7	193	bta-let-7a-1
tgu-let-7e-3p	5	bta-let-7a-1
tgu-let-7a-5p	193	bta-let-7a-1
tgu-let-7a-1-3p	5	bta-let-7a-1
nvi-let-7	193	bta-let-7a-1
ppy-let-7a	193	bta-let-7a-1
ngi-let-7	193	bta-let-7a-1
pma-let-7a	193	bta-let-7a-1
asu-let-7-5p	193	bta-let-7a-1
aca-let-7a-5p	193	bta-let-7a-1
aca-let-7e-3p	5	bta-let-7a-1
aca-let-7f-1-3p	5	bta-let-7a-1
ola-let-7a-5p	193	bta-let-7a-1
ola-let-7a	193	bta-let-7a-1
sha-let-7a	193	bta-let-7a-1
cgr-let-7a	193	bta-let-7a-1
ggo-let-7a	193	bta-let-7a-1
mse-let-7a	193	bta-let-7a-1
ccr-let-7a	193	bta-let-7a-1
ipu-let-7a	193	bta-let-7a-1
cbn-let-7	193	bta-let-7a-1
oar-let-7a	193	bta-let-7a-1
prd-let-7-5p	193	bta-let-7a-1
bbe-let-7a-5p	193	bta-let-7a-1
ssa-let-7a-5p	193	bta-let-7a-1
ssa-let-7e-3p	5	bta-let-7a-1
chi-let-7a-5p	193	bta-let-7a-1
chi-let-7a-3p	5	bta-let-7a-1
tch-let-7a-3p	5	bta-let-7a-1
oha-let-7a	193	bta-let-7a-1
oha-let-7a-5p	193	bta-let-7a-1
oha-let-7a-2-3p	5	bta-let-7a-1
oha-let-7f-1-3p	5	bta-let-7a-1
oha-let-7e-3p	5	bta-let-7a-1
cel-let-7-5p	192	bta-let-7a-2
hsa-let-7a-5p	192	bta-let-7a-2
hsa-let-7a-2-3p	0	bta-let-7a-2
dme-let-7-5p	192	bta-let-7a-2
cbr-let-7	192	bta-let-7a-2
mmu-let-7a-5p	192	bta-let-7a-2
mmu-let-7a-2-3p	0	bta-let-7a-2
rno-let-7a-5p	192	bta-let-7a-2
rno-let-7a-2-3p	0	bta-let-7a-2
gga-let-7a-5p	192	bta-let-7a-2
gga-let-7j-5p	192	bta-let-7a-2
dps-let-7	192	bta-let-7a-2
dre-let-7a	192	bta-let-7a-2
fru-let-7a	192	bta-let-7a-2
tni-let-7a	192	bta-let-7a-2
xtr-let-7a	192	bta-let-7a-2
bmo-let-7-5p	192	bta-let-7a-2
bta-let-7a-5p	192	bta-let-7a-2
mdo-let-7a-5p	192	bta-let-7a-2
mdo-let-7a-3p	0	bta-let-7a-2
ame-let-7	192	bta-let-7a-2
mml-let-7a-5p	192	bta-let-7a-2
mml-let-7a-2-3p	0	bta-let-7a-2
cfa-let-7a	192	bta-let-7a-2
ptr-let-7a	192	bta-let-7a-2
tca-let-7-5p	192	bta-let-7a-2
dan-let-7	192	bta-let-7a-2
der-let-7	192	bta-let-7a-2
dgr-let-7	192	bta-let-7a-2
dmo-let-7	192	bta-let-7a-2
dpe-let-7	192	bta-let-7a-2
dse-let-7	192	bta-let-7a-2
dsi-let-7	192	bta-let-7a-2
dvi-let-7	192	bta-let-7a-2
dwi-let-7	192	bta-let-7a-2
dya-let-7	192	bta-let-7a-2
bfl-let-7a-5p	192	bta-let-7a-2
cte-let-7	192	bta-let-7a-2
lgi-let-7	192	bta-let-7a-2
sko-let-7	192	bta-let-7a-2
crm-let-7	192	bta-let-7a-2
ppc-let-7	192	bta-let-7a-2
isc-let-7	192	bta-let-7a-2
eca-let-7a	192	bta-let-7a-2
ssc-let-7a	192	bta-let-7a-2
bma-let-7	192	bta-let-7a-2
tgu-let-7a-5p	192	bta-let-7a-2
nvi-let-7	192	bta-let-7a-2
ppy-let-7a	192	bta-let-7a-2
ngi-let-7	192	bta-let-7a-2
pma-let-7a	192	bta-let-7a-2
asu-let-7-5p	192	bta-let-7a-2
aca-let-7a-5p	192	bta-let-7a-2
aca-let-7c-2-3p	0	bta-let-7a-2
ola-let-7a-5p	192	bta-let-7a-2
ola-let-7a	192	bta-let-7a-2
sha-let-7a	192	bta-let-7a-2
cgr-let-7a	192	bta-let-7a-2
ggo-let-7a	192	bta-let-7a-2
mse-let-7a	192	bta-let-7a-2
ccr-let-7a	192	bta-let-7a-2
ipu-let-7a	192	bta-let-7a-2
cbn-let-7	192	bta-let-7a-2
oar-let-7a	192	bta-let-7a-2
prd-let-7-5p	192	bta-let-7a-2
bbe-let-7a-5p	192	bta-let-7a-2
ssa-let-7a-5p	192	bta-let-7a-2
ssa-let-7a-3p	0	bta-let-7a-2
chi-let-7a-5p	192	bta-let-7a-2
oha-let-7a	192	bta-let-7a-2
oha-let-7a-5p	192	bta-let-7a-2
oha-let-7c-1-3p	0	bta-let-7a-2
cel-let-7-5p	191	bta-let-7a-3
hsa-let-7a-5p	191	bta-let-7a-3
hsa-let-7a-3p	5	bta-let-7a-3
dme-let-7-5p	191	bta-let-7a-3
cbr-let-7	191	bta-let-7a-3
mmu-let-7a-5p	191	bta-let-7a-3
mmu-let-7a-1-3p	5	bta-let-7a-3
mmu-let-7c-2-3p	5	bta-let-7a-3
rno-let-7a-5p	191	bta-let-7a-3
rno-let-7a-1-3p	5	bta-let-7a-3
rno-let-7c-2-3p	5	bta-let-7a-3
gga-let-7a-5p	191	bta-let-7a-3
gga-let-7a-3p	5	bta-let-7a-3
gga-let-7j-5p	191	bta-let-7a-3
gga-let-7k-3p	5	bta-let-7a-3
dps-let-7	191	bta-let-7a-3
dre-let-7a	191	bta-let-7a-3
fru-let-7a	191	bta-let-7a-3
tni-let-7a	191	bta-let-7a-3
xtr-let-7a	191	bta-let-7a-3
bmo-let-7-5p	191	bta-let-7a-3
bta-let-7a-5p	191	bta-let-7a-3
mdo-let-7a-5p	191	bta-let-7a-3
bta-let-7a-3p	5	bta-let-7a-3
ame-let-7	191	bta-let-7a-3
oan-let-7e-3p	5	bta-let-7a-3
mml-let-7a-5p	191	bta-let-7a-3
mml-let-7a-3p	5	bta-let-7a-3
cfa-let-7a	191	bta-let-7a-3
ptr-let-7a	191	bta-let-7a-3
tca-let-7-5p	191	bta-let-7a-3
dan-let-7	191	bta-let-7a-3
der-let-7	191	bta-let-7a-3
dgr-let-7	191	bta-let-7a-3
dmo-let-7	191	bta-let-7a-3
dpe-let-7	191	bta-let-7a-3
dse-let-7	191	bta-let-7a-3
dsi-let-7	191	bta-let-7a-3
dvi-let-7	191	bta-let-7a-3
dwi-let-7	191	bta-let-7a-3
dya-let-7	191	bta-let-7a-3
bfl-let-7a-5p	191	bta-let-7a-3
cte-let-7	191	bta-let-7a-3
lgi-let-7	191	bta-let-7a-3
sko-let-7	191	bta-let-7a-3
crm-let-7	191	bta-let-7a-3
ppc-let-7	191	bta-let-7a-3
isc-let-7	191	bta-let-7a-3
eca-let-7a	191	bta-let-7a-3
ssc-let-7a	191	bta-let-7a-3
bma-let-7	191	bta-let-7a-3
tgu-let-7e-3p	5	bta-let-7a-3
tgu-let-7a-5p	191	bta-let-7a-3
tgu-let-7a-1-3p	5	bta-let-7a-3
nvi-let-7	191	bta-let-7a-3
ppy-let-7a	191	bta-let-7a-3
ngi-let-7	191	bta-let-7a-3
pma-let-7a	191	bta-let-7a-3
asu-let-7-5p	191	bta-let-7a-3
aca-let-7a-5p	191	bta-let-7a-3
aca-let-7e-3p	5	bta-let-7a-3
aca-let-7f-1-3p	5	bta-let-7a-3
ola-let-7a-5p	191	bta-let-7a-3
ola-let-7a	191	bta-let-7a-3
sha-let-7a	191	bta-let-7a-3
cgr-let-7a	191	bta-let-7a-3
ggo-let-7a	191	bta-let-7a-3
mse-let-7a	191	bta-let-7a-3
ccr-let-7a	191	bta-let-7a-3
ipu-let-7a	191	bta-let-7a-3
cbn-let-7	191	bta-let-7a-3
oar-let-7a	191	bta-let-7a-3
prd-let-7-5p	191	bta-let-7a-3
bbe-let-7a-5p	191	bta-let-7a-3
ssa-let-7a-5p	191	bta-let-7a-3
ssa-let-7e-3p	5	bta-let-7a-3
chi-let-7a-5p	191	bta-let-7a-3
chi-let-7a-3p	5	bta-let-7a-3
tch-let-7a-3p	5	bta-let-7a-3
oha-let-7a	191	bta-let-7a-3
oha-let-7a-5p	191	bta-let-7a-3
oha-let-7a-2-3p	5	bta-let-7a-3
oha-let-7f-1-3p	5	bta-let-7a-3
oha-let-7e-3p	5	bta-let-7a-3
hsa-let-7b-5p	9	bta-let-7b
mmu-let-7b-5p	9	bta-let-7b
rno-let-7b-5p	9	bta-let-7b
gga-let-7b	9	bta-let-7b
dre-let-7b	9	bta-let-7b
fru-let-7b	9	bta-let-7b
tni-let-7b	9	bta-let-7b
mdo-let-7b	9	bta-let-7b
bta-let-7b	9	bta-let-7b
oan-let-7b-5p	9	bta-let-7b
mml-let-7b-5p	9	bta-let-7b
ptr-let-7b	9	bta-let-7b
cfa-let-7b	9	bta-let-7b
tgu-let-7b-5p	9	bta-let-7b
tgu-let-7b-3p	0	bta-let-7b
oar-let-7b	9	bta-let-7b
ppy-let-7b	9	bta-let-7b
aca-let-7b-5p	9	bta-let-7b
aca-let-7b-3p	0	bta-let-7b
ola-let-7b	9	bta-let-7b
cgr-let-7b	9	bta-let-7b
ggo-let-7b	9	bta-let-7b
pol-let-7b-5p	9	bta-let-7b
pol-let-7b-3p	0	bta-let-7b
pol-let-7a-3p	0	bta-let-7b
ccr-let-7b	9	bta-let-7b
ipu-let-7b	9	bta-let-7b
ssa-let-7b-5p	9	bta-let-7b
chi-let-7b-5p	9	bta-let-7b
oha-let-7b-5p	9	bta-let-7b
oha-let-7b-3p	0	bta-let-7b
hsa-let-7c-5p	9	bta-let-7c
hsa-let-7c-3p	0	bta-let-7c
mmu-let-7c-5p	9	bta-let-7c
mmu-let-7c-1-3p	0	bta-let-7c
rno-let-7c-5p	9	bta-let-7c
rno-let-7c-1-3p	0	bta-let-7c
gga-let-7c-5p	9	bta-let-7c
gga-let-7c-3p	0	bta-let-7c
dre-let-7c-5p	9	bta-let-7c
dre-let-7c-3p	0	bta-let-7c
dre-let-7d-3p	0	bta-let-7c
ssc-let-7c	9	bta-let-7c
xtr-let-7c	9	bta-let-7c
bta-let-7c	9	bta-let-7c
mml-let-7c-5p	9	bta-let-7c
mml-let-7c-3p	0	bta-let-7c
cfa-let-7c	9	bta-let-7c
ptr-let-7c	9	bta-let-7c
eca-let-7c	9	bta-let-7c
tgu-let-7c-5p	9	bta-let-7c
tgu-let-7c-3p	0	bta-let-7c
oar-let-7c	9	bta-let-7c
ppy-let-7c	9	bta-let-7c
aca-let-7c-5p	9	bta-let-7c
aca-let-7c-1-3p	0	bta-let-7c
ola-let-7c	9	bta-let-7c
cgr-let-7c	0	bta-let-7c
ggo-let-7c	9	bta-let-7c
pol-let-7a-5p	9	bta-let-7c
pol-let-7d-3p	0	bta-let-7c
oan-let-7c-5p	9	bta-let-7c
oan-let-7c-3p	0	bta-let-7c
ipu-let-7c	9	bta-let-7c
hhi-let-7c	9	bta-let-7c
ssa-let-7c-5p	9	bta-let-7c
ssa-let-7c-3p	0	bta-let-7c
ssa-let-7d-3p	0	bta-let-7c
efu-let-7c	9	bta-let-7c
chi-let-7c-5p	9	bta-let-7c
chi-let-7c-3p	0	bta-let-7c
oha-let-7c-5p	9	bta-let-7c
oha-let-7c-3-3p	0	bta-let-7c
hsa-let-7d-5p	4	bta-let-7d
hsa-let-7d-3p	2	bta-let-7d
mmu-let-7d-5p	4	bta-let-7d
mmu-let-7d-3p	2	bta-let-7d
rno-let-7d-5p	4	bta-let-7d
rno-let-7d-3p	2	bta-let-7d
bta-let-7d	4	bta-let-7d
mdo-let-7d	4	bta-let-7d
oan-let-7d-5p	4	bta-let-7d
mml-let-7d	4	bta-let-7d
ptr-let-7d	4	bta-let-7d
eca-let-7d	4	bta-let-7d
tgu-let-7d-5p	4	bta-let-7d
ppy-let-7d	4	bta-let-7d
aca-let-7d-5p	4	bta-let-7d
cgr-let-7d-5p	4	bta-let-7d
cgr-let-7d-3p	2	bta-let-7d
ssc-let-7d-5p	4	bta-let-7d
ssc-let-7d-3p	2	bta-let-7d
oar-let-7d	4	bta-let-7d
cfa-let-7d	2	bta-let-7d
efu-let-7d	4	bta-let-7d
chi-let-7d-5p	4	bta-let-7d
chi-let-7d-3p	2	bta-let-7d
oha-let-7d-5p	4	bta-let-7d
hsa-let-7e-5p	6	bta-let-7e
hsa-let-7e-3p	0	bta-let-7e
mmu-let-7e-5p	6	bta-let-7e
mmu-let-7e-3p	0	bta-let-7e
rno-let-7e-5p	6	bta-let-7e
rno-let-7e-3p	0	bta-let-7e
bta-let-7e	6	bta-let-7e
mml-let-7e-5p	6	bta-let-7e
mml-let-7e-3p	0	bta-let-7e
cfa-let-7e	6	bta-let-7e
ptr-let-7e	6	bta-let-7e
eca-let-7e	6	bta-let-7e
ssc-let-7e	6	bta-let-7e
ppy-let-7e	6	bta-let-7e
ggo-let-7e	6	bta-let-7e
efu-let-7e	6	bta-let-7e
chi-let-7e-5p	6	bta-let-7e
chi-let-7e-3p	0	bta-let-7e
tch-let-7e-5p	6	bta-let-7e
hsa-let-7f-5p	43	bta-let-7f-1
hsa-let-7f-1-3p	0	bta-let-7f-1
mmu-let-7f-5p	43	bta-let-7f-1
mmu-let-7f-1-3p	0	bta-let-7f-1
rno-let-7f-5p	43	bta-let-7f-1
rno-let-7f-1-3p	0	bta-let-7f-1
gga-let-7f-5p	43	bta-let-7f-1
gga-let-7f-3p	0	bta-let-7f-1
dre-let-7f	43	bta-let-7f-1
ssc-let-7f	43	bta-let-7f-1
bta-let-7f	43	bta-let-7f-1
xtr-let-7f	43	bta-let-7f-1
mdo-let-7f-5p	43	bta-let-7f-1
mdo-let-7f-1-3p	0	bta-let-7f-1
oan-let-7f-5p	43	bta-let-7f-1
oan-let-7f-1-3p	0	bta-let-7f-1
mml-let-7f-5p	43	bta-let-7f-1
mml-let-7f-3p	0	bta-let-7f-1
cfa-let-7f	43	bta-let-7f-1
ptr-let-7f	43	bta-let-7f-1
eca-let-7f	43	bta-let-7f-1
tgu-let-7f-5p	43	bta-let-7f-1
tgu-let-7f-3p	0	bta-let-7f-1
ppy-let-7f	43	bta-let-7f-1
aca-let-7f-5p	43	bta-let-7f-1
aca-let-7f-2-3p	0	bta-let-7f-1
cgr-let-7f	43	bta-let-7f-1
ggo-let-7f	43	bta-let-7f-1
ipu-let-7f	43	bta-let-7f-1
oar-let-7f	43	bta-let-7f-1
ssa-let-7f-3p	0	bta-let-7f-1
efu-let-7f	43	bta-let-7f-1
chi-let-7f-5p	43	bta-let-7f-1
chi-let-7f-3p	0	bta-let-7f-1
tch-let-7f-5p	43	bta-let-7f-1
oha-let-7f-5p	43	bta-let-7f-1
oha-let-7f-2-3p	0	bta-let-7f-1
hsa-let-7f-5p	46	bta-let-7f-2
hsa-let-7f-2-3p	0	bta-let-7f-2
mmu-let-7f-5p	46	bta-let-7f-2
mmu-let-7f-2-3p	0	bta-let-7f-2
rno-let-7f-5p	46	bta-let-7f-2
rno-let-7f-2-3p	0	bta-let-7f-2
gga-let-7f-5p	46	bta-let-7f-2
dre-let-7f	46	bta-let-7f-2
ssc-let-7f	46	bta-let-7f-2
bta-let-7f	46	bta-let-7f-2
xtr-let-7f	46	bta-let-7f-2
mdo-let-7f-5p	46	bta-let-7f-2
mdo-let-7f-2-3p	0	bta-let-7f-2
oan-let-7f-5p	46	bta-let-7f-2
oan-let-7f-2-3p	0	bta-let-7f-2
mml-let-7f-5p	46	bta-let-7f-2
cfa-let-7f	46	bta-let-7f-2
ptr-let-7f	46	bta-let-7f-2
eca-let-7f	46	bta-let-7f-2
tgu-let-7f-5p	46	bta-let-7f-2
ppy-let-7f	46	bta-let-7f-2
aca-let-7a-3p	0	bta-let-7f-2
aca-let-7f-5p	46	bta-let-7f-2
cgr-let-7f	46	bta-let-7f-2
ggo-let-7f	46	bta-let-7f-2
ipu-let-7f	46	bta-let-7f-2
oar-let-7f	46	bta-let-7f-2
ssa-let-7g-3p	0	bta-let-7f-2
chi-let-7f-5p	46	bta-let-7f-2
tch-let-7f-5p	46	bta-let-7f-2
oha-let-7f-5p	46	bta-let-7f-2
mmu-let-7g-5p	86	bta-let-7g
mmu-let-7g-3p	0	bta-let-7g
hsa-let-7g-5p	86	bta-let-7g
hsa-let-7g-3p	0	bta-let-7g
gga-let-7g-5p	86	bta-let-7g
gga-let-7g-3p	0	bta-let-7g
bta-let-7g	86	bta-let-7g
mdo-let-7g-5p	86	bta-let-7g
mdo-let-7g-3p	0	bta-let-7g
oan-let-7g-5p	86	bta-let-7g
oan-let-7g-3p	0	bta-let-7g
mml-let-7g-5p	86	bta-let-7g
mml-let-7g-3p	0	bta-let-7g
cfa-let-7g	86	bta-let-7g
ptr-let-7g	86	bta-let-7g
eca-let-7g	86	bta-let-7g
ssc-let-7g	86	bta-let-7g
tgu-let-7g-5p	86	bta-let-7g
tgu-let-7g-3p	0	bta-let-7g
ppy-let-7g	86	bta-let-7g
aca-let-7g	86	bta-let-7g
sha-let-7g	86	bta-let-7g
cgr-let-7g-5p	86	bta-let-7g
cgr-let-7g-3p	0	bta-let-7g
ggo-let-7g	86	bta-let-7g
oar-let-7g	86	bta-let-7g
rno-let-7g-5p	86	bta-let-7g
rno-let-7g-3p	0	bta-let-7g
chi-let-7g-5p	86	bta-let-7g
chi-let-7g-3p	0	bta-let-7g
tch-let-7g-5p	86	bta-let-7g
oha-let-7g-5p	86	bta-let-7g
oha-let-7g-3p	0	bta-let-7g
mmu-let-7i-5p	37	bta-let-7i
mmu-let-7i-3p	0	bta-let-7i
hsa-let-7i-5p	37	bta-let-7i
hsa-let-7i-3p	0	bta-let-7i
rno-let-7i-5p	37	bta-let-7i
rno-let-7i-3p	0	bta-let-7i
gga-let-7i	37	bta-let-7i
dre-let-7i	37	bta-let-7i
ssc-let-7i	37	bta-let-7i
fru-let-7i	37	bta-let-7i
tni-let-7i	37	bta-let-7i
xtr-let-7i	37	bta-let-7i
bta-let-7i	37	bta-let-7i
mdo-let-7i-5p	37	bta-let-7i
mdo-let-7i-3p	0	bta-let-7i
mml-let-7i-5p	37	bta-let-7i
mml-let-7i-3p	0	bta-let-7i
ptr-let-7i	37	bta-let-7i
tgu-let-7i-5p	37	bta-let-7i
tgu-let-7i-3p	0	bta-let-7i
ppy-let-7i	37	bta-let-7i
aca-let-7i-5p	37	bta-let-7i
aca-let-7i-3p	0	bta-let-7i
sha-let-7i	37	bta-let-7i
cgr-let-7i	0	bta-let-7i
ggo-let-7i	37	bta-let-7i
ccr-let-7i	37	bta-let-7i
aja-let-7i	0	bta-let-7i
ipu-let-7i	37	bta-let-7i
oar-let-7i	37	bta-let-7i
ssa-let-7i-5p	37	bta-let-7i
chi-let-7i-5p	37	bta-let-7i
chi-let-7i-3p	0	bta-let-7i
tch-let-7i-5p	37	bta-let-7i
oha-let-7i-5p	37	bta-let-7i
oha-let-7i-3p	0	bta-let-7i
cel-miR-1-3p	3	bta-mir-1-1
mmu-miR-1a-3p	3	bta-mir-1-1
hsa-miR-1-3p	3	bta-mir-1-1
cbr-miR-1	3	bta-mir-1-1
gga-miR-1a-3p	3	bta-mir-1-1
dre-miR-1	3	bta-mir-1-1
ppa-miR-1	3	bta-mir-1-1
fru-miR-1	3	bta-mir-1-1
tni-miR-1	3	bta-mir-1-1
xtr-miR-1a	3	bta-mir-1-1
mdo-miR-1-3p	3	bta-mir-1-1
oan-miR-1a-3p	3	bta-mir-1-1
mml-miR-1-3p	3	bta-mir-1-1
cfa-miR-1	3	bta-mir-1-1
ptr-miR-1	3	bta-mir-1-1
bta-miR-1	3	bta-mir-1-1
bfl-miR-1-3p	3	bta-mir-1-1
lgi-miR-1	3	bta-mir-1-1
spu-miR-1	3	bta-mir-1-1
ssc-miR-1	3	bta-mir-1-1
crm-miR-1-3p	3	bta-mir-1-1
ppc-miR-1	3	bta-mir-1-1
eca-miR-1	3	bta-mir-1-1
tgu-miR-1-3p	3	bta-mir-1-1
ppy-miR-1	3	bta-mir-1-1
asu-miR-1-3p	3	bta-mir-1-1
aca-miR-1a-3p	3	bta-mir-1-1
ola-miR-1-3p	3	bta-mir-1-1
ggo-miR-1	3	bta-mir-1-1
pol-miR-1-3p	3	bta-mir-1-1
ccr-miR-1	3	bta-mir-1-1
cbn-miR-1	3	bta-mir-1-1
pmi-miR-1-3p	3	bta-mir-1-1
lva-miR-1-3p	3	bta-mir-1-1
hhi-miR-1	3	bta-mir-1-1
bbe-miR-1-5p	3	bta-mir-1-1
ssa-miR-1-3p	3	bta-mir-1-1
efu-miR-1	3	bta-mir-1-1
chi-miR-1	3	bta-mir-1-1
oha-miR-1b-3p	3	bta-mir-1-1
rno-miR-1b	3	bta-mir-1-1
cel-miR-1-3p	3	bta-mir-1-2
mmu-miR-1a-3p	3	bta-mir-1-2
hsa-miR-1-3p	3	bta-mir-1-2
cbr-miR-1	3	bta-mir-1-2
mmu-miR-1a-2-5p	0	bta-mir-1-2
gga-miR-1a-2-5p	0	bta-mir-1-2
gga-miR-1a-3p	3	bta-mir-1-2
dre-miR-1	3	bta-mir-1-2
ppa-miR-1	3	bta-mir-1-2
fru-miR-1	3	bta-mir-1-2
tni-miR-1	3	bta-mir-1-2
xtr-miR-1a	3	bta-mir-1-2
mdo-miR-1-1-5p	0	bta-mir-1-2
mdo-miR-1-3p	3	bta-mir-1-2
oan-miR-1a-5p	0	bta-mir-1-2
oan-miR-1a-3p	3	bta-mir-1-2
mml-miR-1-3p	3	bta-mir-1-2
mml-miR-1-2-5p	0	bta-mir-1-2
cfa-miR-1	3	bta-mir-1-2
ptr-miR-1	3	bta-mir-1-2
bta-miR-1	3	bta-mir-1-2
bfl-miR-1-3p	3	bta-mir-1-2
lgi-miR-1	3	bta-mir-1-2
spu-miR-1	3	bta-mir-1-2
ssc-miR-1	3	bta-mir-1-2
crm-miR-1-3p	3	bta-mir-1-2
ppc-miR-1	3	bta-mir-1-2
eca-miR-1	3	bta-mir-1-2
tgu-miR-1-2-5p	0	bta-mir-1-2
tgu-miR-1-3p	3	bta-mir-1-2
ppy-miR-1	3	bta-mir-1-2
asu-miR-1-3p	3	bta-mir-1-2
aca-miR-1a-1-5p	0	bta-mir-1-2
aca-miR-1a-3p	3	bta-mir-1-2
ola-miR-1-3p	3	bta-mir-1-2
ggo-miR-1	3	bta-mir-1-2
pol-miR-1-3p	3	bta-mir-1-2
ccr-miR-1	3	bta-mir-1-2
cbn-miR-1	3	bta-mir-1-2
pmi-miR-1-3p	3	bta-mir-1-2
lva-miR-1-3p	3	bta-mir-1-2
hhi-miR-1	3	bta-mir-1-2
bbe-miR-1-5p	3	bta-mir-1-2
ssa-miR-1-3p	3	bta-mir-1-2
ssa-miR-1-5p	0	bta-mir-1-2
